"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN","WDFG","WSFG"
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-09-04","0.00",,,"76","47",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-09-05","0.00",,,"74","42",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-09-06","0.00",,,"72","44",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-09-07","0.00",,,"65","36",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-09-08","0.00",,,"67","41",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-09-09","0.00",,,"71","42",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-09-10","0.00",,,"67","45",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-09-11","0.00",,,"75","36",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-09-12","0.00",,,"80","40",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-09-13","0.00",,,"75","42",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-09-14","0.00",,,"73","38",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-09-15","0.00",,,"80","45",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-09-16","0.00",,,"88","48",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-09-17","0.00",,,"69","45",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-09-18","0.00",,,"75","42",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-09-19","0.00",,,"83","48",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-09-20","0.06",,,"61","40",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-09-21","0.00",,,"71","34",,
